node,destination,Lat1,Long1,Lat2,Long2,value
3,20,38.3031,38.2959,38.3468,38.3140,5.109311264882807
3,21,38.3031,38.2959,38.3513,38.3146,5.602338117834712
3,22,38.3031,38.2959,38.3522,38.3167,5.753266691771115
3,23,38.3031,38.2959,38.3525,38.3160,5.766071763489703
4,0,38.3048,38.2944,38.2972,38.2961,0.8580040848271376
4,1,38.3048,38.2944,38.2986,38.2970,0.7257820758092871
4,2,38.3048,38.2944,38.3009,38.2971,0.4935279158192194
4,3,38.3048,38.2944,38.3031,38.2959,0.22992296659299494
4,4,38.3048,38.2944,38.3048,38.2944,0.0
4,5,38.3048,38.2944,38.3087,38.2939,0.4358498205048184
4,6,38.3048,38.2944,38.3141,38.2953,1.037091470797186
4,7,38.3048,38.2944,38.3095,38.2940,0.5237810044600905
4,8,38.3048,38.2944,38.3180,38.2957,1.4721510534159614
4,9,38.3048,38.2944,38.3175,38.3101,1.9673992373882154
4,10,38.3048,38.2944,38.3225,38.2948,1.9684623031878514
4,11,38.3048,38.2944,38.3243,38.2939,2.1687428322192863
4,12,38.3048,38.2944,38.3290,38.2945,2.6909350842268713
4,13,38.3048,38.2944,38.3316,38.2973,2.990748529687817
4,14,38.3048,38.2944,38.3331,38.2994,3.1769094188839997
4,15,38.3048,38.2944,38.3354,38.3031,3.4861912765736003
4,16,38.3048,38.2944,38.3381,38.3062,3.843223654384771
4,17,38.3048,38.2944,38.3397,38.3083,4.06574285136309
4,18,38.3048,38.2944,38.3413,38.3106,4.297624728852889
4,19,38.3048,38.2944,38.3441,38.3125,4.646464995073114
4,20,38.3048,38.2944,38.3468,38.3140,4.973324504129947
4,21,38.3048,38.2944,38.3513,38.3146,5.462561526392509
4,22,38.3048,38.2944,38.3522,38.3167,5.618144221014941
4,23,38.3048,38.2944,38.3525,38.3160,5.628717728769175
5,0,38.3087,38.2939,38.2972,38.2961,1.293072989263942
5,1,38.3087,38.2939,38.2986,38.2970,1.155187664767836
5,2,38.3087,38.2939,38.3009,38.2971,0.9111601616900333
5,3,38.3087,38.2939,38.3031,38.2959,0.6466841935888493
5,4,38.3087,38.2939,38.3048,38.2944,0.4358498205048184
5,5,38.3087,38.2939,38.3087,38.2939,0.0
5,6,38.3087,38.2939,38.3141,38.2953,0.6127518230793829
5,7,38.3087,38.2939,38.3095,38.2940,0.08938294600907261
5,8,38.3087,38.2939,38.3180,38.2957,1.0459710320770488
5,9,38.3087,38.2939,38.3175,38.3101,1.7190758870141043
5,10,38.3087,38.2939,38.3225,38.2948,1.5364997318263185
5,11,38.3087,38.2939,38.3243,38.2939,1.734643251642977
5,12,38.3087,38.2939,38.3290,38.2945,2.257866962499355
5,13,38.3087,38.2939,38.3316,38.2973,2.563584542577388
5,14,38.3087,38.2939,38.3331,38.2994,2.7552593873648057
5,15,38.3087,38.2939,38.3354,38.3031,3.075475571935791
5,16,38.3087,38.2939,38.3381,38.3062,3.4407205139782064
5,17,38.3087,38.2939,38.3397,38.3083,3.6688014331097754
5,18,38.3087,38.2939,38.3413,38.3106,3.906735431472932
5,19,38.3087,38.2939,38.3441,38.3125,4.2575849124859815
5,20,38.3087,38.2939,38.3468,38.3140,4.585012657337833
5,21,38.3087,38.2939,38.3513,38.3146,5.069370802287421
5,22,38.3087,38.2939,38.3522,38.3167,5.229878396337057
5,23,38.3087,38.2939,38.3525,38.3160,5.237967182257743
6,0,38.3141,38.2953,38.2972,38.2961,1.8804929105081938
6,1,38.3141,38.2953,38.2986,38.2970,1.7298951531618276
6,2,38.3141,38.2953,38.3009,38.2971,1.4761540329362088
6,3,38.3141,38.2953,38.3031,38.2959,1.224265721301275
6,4,38.3141,38.2953,38.3048,38.2944,1.037091470797186
6,5,38.3141,38.2953,38.3087,38.2939,0.6127518230793829
6,6,38.3141,38.2953,38.3141,38.2953,0.0
6,7,38.3141,38.2953,38.3095,38.2940,0.523922243084827
6,8,38.3141,38.2953,38.3180,38.2957,0.43506268755374145
6,9,38.3141,38.2953,38.3175,38.3101,1.3454249413896362
6,10,38.3141,38.2953,38.3225,38.2948,0.9350566847039298
6,11,38.3141,38.2953,38.3243,38.2939,1.1407470383438085
6,12,38.3141,38.2953,38.3290,38.2945,1.6582759278398775
6,13,38.3141,38.2953,38.3316,38.2973,1.9537198485963228
6,14,38.3141,38.2953,38.3331,38.2994,2.1427672937629505
6,15,38.3141,38.2953,38.3354,38.3031,2.464255088044319
6,16,38.3141,38.2953,38.3381,38.3062,2.833008272186938
6,17,38.3141,38.2953,38.3397,38.3083,3.0641569279662564
6,18,38.3141,38.2953,38.3413,38.3106,3.305880080087941
6,19,38.3141,38.2953,38.3441,38.3125,3.6577164130547835
6,20,38.3141,38.2953,38.3468,38.3140,3.985182868448529
6,21,38.3141,38.2953,38.3513,38.3146,4.46589127670127
6,22,38.3141,38.2953,38.3522,38.3167,4.629506467688397
6,23,38.3141,38.2953,38.3525,38.3160,4.635932811652361
7,0,38.3095,38.2940,38.2972,38.2961,1.379920432154228
7,1,38.3095,38.2940,38.2986,38.2970,1.2399734622577152
7,2,38.3095,38.2940,38.3009,38.2971,0.9937985270399915
7,3,38.3095,38.2940,38.3031,38.2959,0.7307041424714359
7,4,38.3095,38.2940,38.3048,38.2944,0.5237810044600905
7,5,38.3095,38.2940,38.3087,38.2939,0.08938294600907261
7,6,38.3095,38.2940,38.3141,38.2953,0.523922243084827
7,7,38.3095,38.2940,38.3095,38.2940,0.0
7,8,38.3095,38.2940,38.3180,38.2957,0.956724958153219
7,9,38.3095,38.2940,38.3175,38.3101,1.662659362641725
7,10,38.3095,38.2940,38.3225,38.2948,1.4472200330871672
7,11,38.3095,38.2940,38.3243,38.2939,1.6457103123769226
7,12,38.3095,38.2940,38.3290,38.2945,2.168742775344882
7,13,38.3095,38.2940,38.3316,38.2973,2.474216887664639
7,14,38.3095,38.2940,38.3331,38.2994,2.666151820020953
7,15,38.3095,38.2940,38.3354,38.3031,2.9873608103295295
7,16,38.3095,38.2940,38.3381,38.3062,3.3535347165752984
7,17,38.3095,38.2940,38.3397,38.3083,3.582302094287053
7,18,38.3095,38.2940,38.3413,38.3106,3.8210217784391722
7,19,38.3095,38.2940,38.3441,38.3125,4.1720937849631765
7,20,38.3095,38.2940,38.3468,38.3140,4.4995530718017775
7,21,38.3095,38.2940,38.3513,38.3146,4.983193819284951
7,22,38.3095,38.2940,38.3522,38.3167,5.1443484412811875
7,23,38.3095,38.2940,38.3525,38.3160,5.152099194983477
8,0,38.3180,38.2957,38.2972,38.2961,2.313120991571973
8,1,38.3180,38.2957,38.2986,38.2970,2.160164672110318
8,2,38.3180,38.2957,38.3009,38.2971,1.9053555176368837
8,3,38.3180,38.2957,38.3031,38.2959,1.6568985885482734
8,4,38.3180,38.2957,38.3048,38.2944,1.4721510534159614
8,5,38.3180,38.2957,38.3087,38.2939,1.0459710320770488
8,6,38.3180,38.2957,38.3141,38.2953,0.43506268755374145
8,7,38.3180,38.2957,38.3095,38.2940,0.956724958153219
8,8,38.3180,38.2957,38.3180,38.2957,0.0
8,9,38.3180,38.2957,38.3175,38.3101,1.2575132560919944
8,10,38.3180,38.2957,38.3225,38.2948,0.5065003572399925
8,11,38.3180,38.2957,38.3243,38.2939,0.7179127436169171
8,12,38.3180,38.2957,38.3290,38.2945,1.227617273645005
8,13,38.3180,38.2957,38.3316,38.2973,1.518680404691352
8,14,38.3180,38.2957,38.3331,38.2994,1.7097861714943883
8,15,38.3180,38.2957,38.3354,38.3031,2.0396355393457104
8,16,38.3180,38.2957,38.3381,38.3062,2.4154110295599795
8,17,38.3180,38.2957,38.3397,38.3083,2.6514568237777407
8,18,38.3180,38.2957,38.3413,38.3106,2.898564615836305
8,19,38.3180,38.2957,38.3441,38.3125,3.2511689197202767
8,20,38.3180,38.2957,38.3468,38.3140,3.5781771173201937
8,21,38.3180,38.2957,38.3513,38.3146,4.05317299907363
